2026-07-13 18:49:39 | INFO | download_data | [75/500] Saved: BERGEPAINT.NS
2026-07-13 18:49:39 | INFO | download_data | [76/500] Saved: BDL.NS
2026-07-13 18:49:40 | INFO | download_data | [77/500] Saved: BEL.NS
2026-07-13 18:49:40 | INFO | download_data | [78/500] Saved: BHARATFORG.NS
2026-07-13 18:49:41 | INFO | download_data | [79/500] Saved: BHEL.NS
2026-07-13 18:49:41 | INFO | download_data | [80/500] Saved: BPCL.NS
2026-07-13 18:49:42 | INFO | download_data | [81/500] Saved: BHARTIARTL.NS
2026-07-13 18:49:42 | INFO | download_data | [82/500] Saved: BHARTIHEXA.NS
2026-07-13 18:49:43 | INFO | download_data | [83/500] Saved: BIKAJI.NS
2026-07-13 18:49:43 | WARNING | download_data | No data for: GROWW.NS
2026-07-13 18:49:44 | INFO | download_data | [85/500] Saved: BIOCON.NS
2026-07-13 18:49:45 | INFO | download_data | [86/500] Saved: BSOFT.NS
2026-07-13 18:49:45 | INFO | download_data | [87/500] Saved: BLUEDART.NS
2026-07-13 18:49:46 | INFO | download_data | [88/500] Saved: BLUEJET.NS
2026-07-13 18:49:46 | INFO | download_data | [89/500] Saved: BLUESTARCO.NS
2026-07-13 18:49:48 | INFO | download_data | [90/500] Saved: BBTC.NS
2026-07-13 18:49:48 | INFO | download_data | [91/500] Saved: BOSCHLTD.NS
2026-07-13 18:49:49 | INFO | download_data | [92/500] Saved: FIRSTCRY.NS
2026-07-13 18:49:49 | INFO | download_data | [93/500] Saved: BRIGADE.NS
2026-07-13 18:49:50 | INFO | download_data | [94/500] Saved: BRITANNIA.NS
2026-07-13 18:49:50 | INFO | download_data | [95/500] Saved: MAPMYINDIA.NS
2026-07-13 18:49:51 | INFO | download_data | [96/500] Saved: CCL.NS
2026-07-13 18:49:51 | INFO | download_data | [97/500] Saved: CESC.NS
2026-07-13 18:49:52 | INFO | download_data | [98/500] Saved: CGPOWER.NS
2026-07-13 18:49:52 | INFO | download_data | [99/500] Saved: CIEINDIA.NS
2026-07-13 18:49:53 | INFO | download_data | [100/500] Saved: CRISIL.NS
2026-07-13 18:49:54 | INFO | download_data | [101/500] Saved: CANFINHOME.NS
2026-07-13 18:49:54 | INFO | download_data | [102/500] Saved: CANBK.NS
2026-07-13 18:49:56 | WARNING | download_data | No data for: CANHLIFE.NS
2026-07-13 18:49:56 | INFO | download_data | [104/500] Saved: CAPLIPOINT.NS
2026-07-13 18:49:57 | INFO | download_data | [105/500] Saved: CGCL.NS
2026-07-13 18:49:57 | INFO | download_data | [106/500] Saved: CARBORUNIV.NS
2026-07-13 18:49:58 | INFO | download_data | [107/500] Saved: CARTRADE.NS
2026-07-13 18:49:58 | INFO | download_data | [108/500] Saved: CASTROLIND.NS
2026-07-13 18:49:59 | INFO | download_data | [109/500] Saved: CEATLTD.NS
2026-07-13 18:49:59 | INFO | download_data | [110/500] Saved: CEMPRO.NS
2026-07-13 18:50:00 | INFO | download_data | [111/500] Saved: CENTRALBK.NS
2026-07-13 18:50:01 | INFO | download_data | [112/500] Saved: CDSL.NS
2026-07-13 18:50:01 | INFO | download_data | [113/500] Saved: CHALET.NS
2026-07-13 18:50:02 | INFO | download_data | [114/500] Saved: CHAMBLFERT.NS
2026-07-13 18:50:02 | INFO | download_data | [115/500] Saved: CHENNPETRO.NS
2026-07-13 18:50:03 | INFO | download_data | [116/500] Saved: CHOICEIN.NS
2026-07-13 18:50:03 | INFO | download_data | [117/500] Saved: CHOLAHLDNG.NS
2026-07-13 18:50:04 | INFO | download_data | [118/500] Saved: CHOLAFIN.NS
2026-07-13 18:50:04 | INFO | download_data | [119/500] Saved: CIPLA.NS
2026-07-13 18:50:05 | INFO | download_data | [120/500] Saved: CUB.NS
2026-07-13 18:50:05 | INFO | download_data | [121/500] Saved: CLEAN.NS
2026-07-13 18:50:06 | INFO | download_data | [122/500] Saved: COALINDIA.NS
2026-07-13 18:50:07 | INFO | download_data | [123/500] Saved: COCHINSHIP.NS
2026-07-13 18:50:07 | INFO | download_data | [124/500] Saved: COFORGE.NS
2026-07-13 18:50:08 | INFO | download_data | [125/500] Saved: COHANCE.NS
2026-07-13 18:50:08 | INFO | download_data | [126/500] Saved: COLPAL.NS
2026-07-13 18:50:09 | INFO | download_data | [127/500] Saved: CAMS.NS
2026-07-13 18:50:09 | INFO | download_data | [128/500] Saved: CONCORDBIO.NS
2026-07-13 18:50:10 | INFO | download_data | [129/500] Saved: CONCOR.NS
2026-07-13 18:50:10 | INFO | download_data | [130/500] Saved: COROMANDEL.NS
2026-07-13 18:50:11 | INFO | download_data | [131/500] Saved: CRAFTSMAN.NS
2026-07-13 18:50:11 | INFO | download_data | [132/500] Saved: CREDITACC.NS
2026-07-13 18:50:12 | INFO | download_data | [133/500] Saved: CROMPTON.NS
2026-07-13 18:50:12 | INFO | download_data | [134/500] Saved: CUMMINSIND.NS
2026-07-13 18:50:13 | INFO | download_data | [135/500] Saved: CYIENT.NS
2026-07-13 18:50:13 | INFO | download_data | [136/500] Saved: DCMSHRIRAM.NS
2026-07-13 18:50:14 | INFO | download_data | [137/500] Saved: DLF.NS
2026-07-13 18:50:14 | INFO | download_data | [138/500] Saved: DOMS.NS
2026-07-13 18:50:15 | INFO | download_data | [139/500] Saved: DABUR.NS
2026-07-13 18:50:16 | INFO | download_data | [140/500] Saved: DALBHARAT.NS
2026-07-13 18:50:16 | INFO | download_data | [141/500] Saved: DATAPATTNS.NS
2026-07-13 18:50:17 | INFO | download_data | [142/500] Saved: DEEPAKFERT.NS
2026-07-13 18:50:17 | INFO | download_data | [143/500] Saved: DEEPAKNTR.NS
