2026-07-11 18:51:33 | INFO | download_data | [72/500] Saved: BATAINDIA.NS
2026-07-11 18:51:33 | INFO | download_data | [73/500] Saved: BAYERCROP.NS
2026-07-11 18:51:34 | INFO | download_data | [74/500] Saved: BELRISE.NS
2026-07-11 18:51:34 | INFO | download_data | [75/500] Saved: BERGEPAINT.NS
2026-07-11 18:51:35 | INFO | download_data | [76/500] Saved: BDL.NS
2026-07-11 18:51:35 | INFO | download_data | [77/500] Saved: BEL.NS
2026-07-11 18:51:36 | INFO | download_data | [78/500] Saved: BHARATFORG.NS
2026-07-11 18:51:37 | INFO | download_data | [79/500] Saved: BHEL.NS
2026-07-11 18:51:47 | WARNING | download_data | No data for: BPCL.NS
2026-07-11 18:51:48 | INFO | download_data | [81/500] Saved: BHARTIARTL.NS
2026-07-11 18:51:49 | INFO | download_data | [82/500] Saved: BHARTIHEXA.NS
2026-07-11 18:51:49 | INFO | download_data | [83/500] Saved: BIKAJI.NS
2026-07-11 18:51:50 | INFO | download_data | [84/500] Saved: GROWW.NS
2026-07-11 18:51:50 | INFO | download_data | [85/500] Saved: BIOCON.NS
2026-07-11 18:51:51 | INFO | download_data | [86/500] Saved: BSOFT.NS
2026-07-11 18:51:52 | INFO | download_data | [87/500] Saved: BLUEDART.NS
2026-07-11 18:51:52 | INFO | download_data | [88/500] Saved: BLUEJET.NS
2026-07-11 18:51:53 | INFO | download_data | [89/500] Saved: BLUESTARCO.NS
2026-07-11 18:51:54 | INFO | download_data | [90/500] Saved: BBTC.NS
2026-07-11 18:51:54 | INFO | download_data | [91/500] Saved: BOSCHLTD.NS
2026-07-11 18:51:55 | INFO | download_data | [92/500] Saved: FIRSTCRY.NS
2026-07-11 18:51:56 | INFO | download_data | [93/500] Saved: BRIGADE.NS
2026-07-11 18:51:56 | INFO | download_data | [94/500] Saved: BRITANNIA.NS
2026-07-11 18:51:57 | INFO | download_data | [95/500] Saved: MAPMYINDIA.NS
2026-07-11 18:51:58 | INFO | download_data | [96/500] Saved: CCL.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CESC.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CGPOWER.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CIEINDIA.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CRISIL.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CANFINHOME.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CANBK.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CANHLIFE.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CAPLIPOINT.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CGCL.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CARBORUNIV.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CARTRADE.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CASTROLIND.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CEATLTD.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CEMPRO.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CENTRALBK.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CDSL.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CHALET.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CHAMBLFERT.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CHENNPETRO.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CHOICEIN.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CHOLAHLDNG.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CHOLAFIN.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CIPLA.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CUB.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CLEAN.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: COALINDIA.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: COCHINSHIP.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: COFORGE.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: COHANCE.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: COLPAL.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CAMS.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CONCORDBIO.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CONCOR.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: COROMANDEL.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CRAFTSMAN.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CREDITACC.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CROMPTON.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CUMMINSIND.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: CYIENT.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DCMSHRIRAM.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DLF.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DOMS.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DABUR.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DALBHARAT.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DATAPATTNS.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DEEPAKFERT.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DEEPAKNTR.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DELHIVERY.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DEVYANI.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DIVISLAB.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DIXON.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: LALPATHLAB.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: DRREDDY.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: EIDPARRY.NS
2026-07-11 18:52:08 | WARNING | download_data | No data for: EIHOTEL.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: EICHERMOT.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: ELECON.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: ELGIEQUIP.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: EMAMILTD.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: EMCURE.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: EMMVEE.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: ENDURANCE.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: ENGINERSIN.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: ERIS.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: ESCORTS.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: ETERNAL.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: EXIDEIND.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: NYKAA.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: FEDERALBNK.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: FACT.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: FINCABLES.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: FSL.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: FIVESTAR.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: FORCEMOT.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: FORTIS.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GAIL.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GVT&D.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GMRAIRPORT.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GABRIEL.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GALLANTT.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GRSE.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GICRE.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GILLETTE.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GLAND.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GLAXO.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GLENMARK.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: MEDANTA.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GODIGIT.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GPIL.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GODFRYPHLP.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GODREJCP.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GODREJIND.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GODREJPROP.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GRANULES.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GRAPHITE.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GRASIM.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GRAVITA.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GESHIP.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: FLUOROCHEM.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: GMDCLTD.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HEG.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HBLENGINE.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HCLTECH.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HDBFS.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HDFCAMC.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HDFCBANK.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HDFCLIFE.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HFCL.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HAVELLS.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HEROMOTOCO.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HEXT.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HSCL.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HINDALCO.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HAL.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HINDCOPPER.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HINDPETRO.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HINDUNILVR.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HINDZINC.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: POWERINDIA.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HOMEFIRST.NS
2026-07-11 18:52:09 | WARNING | download_data | No data for: HONASA.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: HONAUT.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: HUDCO.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: HYUNDAI.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: ICICIBANK.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: ICICIGI.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: ICICIAMC.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: ICICIPRULI.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: IDBI.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: IDFCFIRSTB.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: IFCI.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: IIFL.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: IRB.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: IRCON.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: ITCHOTELS.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: ITC.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: ITI.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: INDGN.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: INDIACEM.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: INDIAMART.NS
2026-07-11 18:52:10 | WARNING | download_data | No data for: INDIANB.NS
