,0
2019-02-07,-0.4231568657714668
2019-02-08,-0.4435464199570861
2019-02-11,-0.4379927306622603
2019-02-12,-0.4109490995039782
2019-02-14,-0.37754434386812297
2019-02-15,-0.4135088021935121
2019-02-18,-0.38069207000596195
2019-02-19,-0.3627947304867309
2019-02-20,-0.31904433327583237
2019-02-21,-0.2380487184841524
2019-02-22,-0.16509870501681148
2019-02-25,-0.16743627224002738
2019-02-26,-0.26295754912553077
2019-02-27,-0.22478142051696434
2019-02-28,-0.19425413628949034
2019-03-01,-0.10725692962784743
2019-03-05,0.025529590929265232
2019-03-06,0.07172863633138744
2019-03-07,0.0687521364906071
2019-03-08,0.07081717107196087
2019-03-11,0.13211094635745385
2019-03-12,0.16785485825125945
2019-03-13,0.14238430313624797
2019-03-14,0.15067521158398356
2019-03-15,0.1467212220725355
2019-03-18,0.19257429390938807
2019-03-19,0.26041942416140224
2019-03-20,0.22515293930126692
2019-03-22,0.18594599931247197
2019-03-25,0.14999619361645689
2019-03-26,0.24066246537083094
2019-03-27,0.2520506891338455
2019-03-28,0.23689801152144718
2019-04-01,0.33903131107312656
2019-04-02,0.4003885303941018
2019-04-03,0.38013044000604257
2019-04-04,0.37210759456781484
2019-04-05,0.35755977509031234
2019-04-08,0.3620346937702006
2019-04-09,0.330806804882866
2019-04-10,0.3689135035024676
2019-04-11,0.39324641022088447
2019-04-12,0.4357680844979909
2019-04-15,0.337997859840166
2019-04-16,0.36146356274706903
2019-04-18,0.294621300780893
2019-04-22,0.25369649231930236
2019-04-23,0.17226576893938275
2019-04-24,0.09915248491423147
2019-04-25,0.08337455450185273
2019-04-26,0.06382859141208502
2019-04-30,0.061617617846229225
2019-05-02,0.09405752159230539
2019-05-03,0.13207229036045262
2019-05-06,0.12331550043341041
2019-05-07,0.09108488499361997
2019-05-08,0.0867900053884117
2019-05-09,0.13299563574336884
2019-05-10,0.1542232782178305
2019-05-13,0.10191022530635827
2019-05-14,0.1439519687662554
2019-05-15,0.09644646019509402
2019-05-16,0.10968251927269328
2019-05-17,0.11775016511101892
2019-05-20,0.28543035373752546
2019-05-21,0.14132770532326414
2019-05-22,0.18061243070390645
2019-05-23,0.2163209927744229
2019-05-24,0.32493929860376736
2019-05-27,0.3608081226998235
2019-05-28,0.3899086046921734
2019-05-29,0.3806541907370847
2019-05-30,0.34016071243999474
2019-05-31,0.27812584187824796
2019-06-03,0.2225459374725357
2019-06-04,0.2268712889145206
2019-06-06,0.21281077240527177
2019-06-07,0.21188284603679405
2019-06-10,0.13277705069771922
2019-06-11,0.1853116469534219
2019-06-12,0.14283475276904037
2019-06-13,0.12216861867745145
2019-06-14,0.1139418546794301
2019-06-17,0.12376228803523977
2019-06-18,0.09354601571796602
2019-06-19,0.10160011530274575
2019-06-20,0.17606251262934441
2019-06-21,0.17547238274717483
2019-06-24,0.17152000202194384
2019-06-25,0.1942163215671903
2019-06-26,0.23646328986980872
2019-06-27,0.22935506310245457
2019-06-28,0.2452431186415754
2019-07-01,0.31828354200904246
2019-07-02,0.2974316717971577
2019-07-03,0.34186877010096506
2019-07-04,0.34566766940529003
2019-07-05,0.3398824400496525
2019-07-08,0.3171401672354341
2019-07-09,0.3323670701172211
2019-07-10,0.33518572875278807
2019-07-11,0.31483360034097324
2019-07-12,0.3086057835635497
2019-07-15,0.3160639991176973
2019-07-16,0.3112492453611611
2019-07-17,0.30224786159334915
2019-07-18,0.2823351613160786
2019-07-19,0.3011151135131906
2019-07-22,0.3579989419259819
2019-07-23,0.3306087831631818
2019-07-24,0.3159502373049287
2019-07-25,0.27602796526142653
2019-07-26,0.30843904562352925
2019-07-29,0.2578370740334885
2019-07-30,0.1668830299747429
2019-07-31,0.2141557321820508
2019-08-01,0.19556935813048318
2019-08-02,0.16341872791012002
2019-08-05,0.12751400282267955
2019-08-06,0.0889841972452164
2019-08-07,0.02207738645378049
2019-08-08,-0.013987600659199642
2019-08-09,0.013335351447729018
2019-08-13,-0.0847228931718612
2019-08-14,0.024698446032768127
2019-08-16,0.052430717995254526
2019-08-19,0.0654101702626057
2019-08-20,0.032476119222459694
2019-08-21,0.0012364331344208257
2019-08-22,-0.027685885852246427
