cagr,annual_vol,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor,total_return,skewness,kurtosis,n_days,daily_vol,test_start,test_end,window_idx
0.211559,0.03388,4.3258,7.3407,-0.004241,49.8816,0.619,2.4043,0.016121,-0.1957,-0.2898,21,0.002134,2022-03-02,2022-03-31,38
-0.080213,0.055159,-2.6326,-3.2837,-0.017761,-4.5163,0.5263,0.7827,-0.006284,-0.7825,0.0422,19,0.003475,2022-04-01,2022-04-29,39
-0.206363,0.093907,-2.8897,-3.4695,-0.03504,-5.8893,0.4762,0.6539,-0.019076,-1.0293,2.5083,21,0.005916,2022-05-02,2022-05-31,40
-0.012842,0.041156,-1.8914,-2.2589,-0.017942,-0.7157,0.5455,0.9443,-0.001128,-0.8023,2.9722,22,0.002593,2022-06-01,2022-06-30,41
0.102777,0.03345,1.1294,1.8181,-0.004757,21.6036,0.619,1.5551,0.008186,-0.3064,-0.7686,21,0.002107,2022-07-01,2022-07-29,42
-0.088639,0.0424,-3.6236,-5.1942,-0.012016,-7.377,0.5,0.6849,-0.007339,0.2,1.2133,20,0.002671,2022-08-01,2022-08-30,43
0.08609,0.039963,0.5277,0.8872,-0.007447,11.5609,0.5455,1.3894,0.007236,-0.0788,-0.329,22,0.002517,2022-09-01,2022-09-30,44
0.261314,0.034834,5.6358,10.4308,-0.004169,62.685,0.6316,2.8122,0.017658,-0.181,-0.7463,19,0.002194,2022-10-03,2022-10-31,45
-0.250815,0.055904,-5.6493,-5.8522,-0.027693,-9.0571,0.4286,0.3606,-0.023777,-1.591,3.3922,21,0.003522,2022-11-01,2022-11-30,46
0.162111,0.049135,1.9764,3.6295,-0.0096,16.8862,0.5455,1.5886,0.013202,-0.136,-1.021,22,0.003095,2022-12-01,2022-12-30,47
0.153824,0.033239,2.6723,4.6606,-0.005302,29.0132,0.6667,2.0437,0.011995,0.275,0.0581,21,0.002094,2023-01-02,2023-01-31,48
-0.130102,0.045581,-4.2803,-5.5757,-0.017128,-7.5959,0.4,0.5922,-0.011001,-0.4694,0.6109,20,0.002871,2023-02-01,2023-02-28,49
0.309397,0.042133,5.8006,13.274,-0.004042,76.5427,0.5238,3.3652,0.022718,0.5947,-0.2566,21,0.002654,2023-03-01,2023-03-31,50
0.014979,0.03819,-1.3098,-2.0487,-0.007069,2.1191,0.5294,1.0686,0.001004,-0.0109,-0.2819,17,0.002406,2023-04-03,2023-04-28,51
-0.012187,0.042912,-1.7987,-3.1938,-0.011135,-1.0944,0.5,0.9587,-0.00107,0.3939,-0.4358,22,0.002703,2023-05-02,2023-05-31,52
0.030739,0.035664,-0.9607,-1.5312,-0.010301,2.9841,0.5714,1.1561,0.002526,0.3872,0.4532,21,0.002247,2023-06-01,2023-06-30,53
-0.077068,0.032619,-4.3553,-6.4575,-0.014981,-5.1444,0.381,0.6693,-0.006661,-0.0486,0.5444,21,0.002055,2023-07-03,2023-07-31,54
-0.035515,0.033486,-3.0017,-4.3699,-0.00771,-4.6063,0.4545,0.8492,-0.003152,-0.5536,0.0263,22,0.002109,2023-08-01,2023-08-31,55
0.270365,0.045155,4.548,6.4115,-0.006147,43.9851,0.6,2.5842,0.019174,-0.2113,0.9835,20,0.002844,2023-09-01,2023-09-29,56
0.335796,0.027949,9.6888,17.0781,-0.002087,160.9364,0.8,6.2986,0.023244,0.7665,2.7429,20,0.001761,2023-10-03,2023-10-31,57
0.171193,0.050517,2.1021,3.4574,-0.00861,19.8819,0.5,1.6864,0.012621,-0.0194,1.1053,20,0.003182,2023-11-01,2023-11-30,58
-0.150181,0.05704,-3.7724,-3.9385,-0.021198,-7.0846,0.55,0.5878,-0.012832,-1.1342,0.8198,20,0.003593,2023-12-01,2023-12-29,59
0.631545,0.044109,12.8442,23.2199,-0.005571,113.3656,0.8095,6.1597,0.041637,-0.2338,-0.6197,21,0.002779,2024-01-01,2024-01-31,60
0.43154,0.041656,8.7993,18.0035,-0.00574,75.1822,0.6667,4.1478,0.030347,0.1846,0.1871,21,0.002624,2024-02-01,2024-02-29,61
-0.132709,0.065464,-3.0201,-4.6433,-0.026042,-5.0959,0.5,0.7035,-0.010118,0.1771,-0.2543,18,0.004124,2024-03-01,2024-03-28,62
-0.210626,0.043015,-6.4077,-10.0717,-0.02425,-8.6856,0.25,0.4219,-0.018596,0.1947,0.2363,20,0.00271,2024-04-01,2024-04-30,63
-0.099127,0.056022,-2.9297,-5.2757,-0.019078,-5.196,0.4286,0.7471,-0.008661,0.4593,-0.425,21,0.003529,2024-05-02,2024-05-31,64
0.074679,0.073565,0.1316,0.155,-0.015652,4.7712,0.5263,1.1927,0.005445,-1.0615,2.706,19,0.004634,2024-06-03,2024-06-28,65
-0.008541,0.060494,-1.2157,-1.3151,-0.023069,-0.3702,0.5455,0.9808,-0.000749,-1.4672,3.1136,22,0.003811,2024-07-01,2024-07-31,66
0.067109,0.0585,0.036,0.0512,-0.013677,4.9068,0.4762,1.2201,0.005427,-0.2879,1.6676,21,0.003685,2024-08-01,2024-08-30,67
0.045866,0.043655,-0.4383,-0.7402,-0.009415,4.8715,0.4762,1.1802,0.003744,-0.0007,-0.2534,21,0.00275,2024-09-02,2024-09-30,68
0.165958,0.045744,2.207,3.8578,-0.005651,29.3667,0.6364,1.8032,0.013495,0.5045,0.5291,22,0.002882,2024-10-01,2024-10-31,69
0.046454,0.048218,-0.3846,-0.5868,-0.00732,6.346,0.5789,1.1669,0.003429,-0.2473,-0.2439,19,0.003037,2024-11-01,2024-11-29,70
0.240203,0.048798,3.5904,5.4407,-0.007704,31.1801,0.55,2.1996,0.017232,0.0273,1.3648,20,0.003074,2024-12-02,2024-12-30,71
