Date,0
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.0
2019-01-11,0.0
2019-01-14,0.0
2019-01-15,0.0
2019-01-16,0.0
2019-01-17,0.0
2019-01-18,0.0
2019-01-21,0.0
2019-01-22,0.0
2019-01-23,0.0
2019-01-24,0.0
2019-01-25,0.0
2019-01-28,0.0
2019-01-29,0.0
2019-01-30,0.0
2019-01-31,0.0
2019-02-01,0.0
2019-02-04,0.0
2019-02-05,0.0
2019-02-06,0.0
2019-02-07,0.0
2019-02-08,0.0
2019-02-11,0.0
2019-02-12,0.0
2019-02-14,0.0
2019-02-15,0.0
2019-02-18,0.0
2019-02-19,0.0
2019-02-20,0.0
2019-02-21,0.0
2019-02-22,0.0
2019-02-25,0.0
2019-02-26,0.0
2019-02-27,0.0
2019-02-28,0.0
2019-03-01,0.0
2019-03-05,-0.02105852548568125
2019-03-06,0.0005092130176071067
2019-03-07,0.0016033636943664688
2019-03-08,0.0005168733001333335
2019-03-11,-0.006459582389935277
2019-03-12,0.0005209672232133784
2019-03-13,-0.00022117857515905023
2019-03-14,0.0016178848762522123
2019-03-15,0.0046755824639435235
2019-03-18,0.0013069119415454035
2019-03-19,-0.004270287937234946
2019-03-20,0.0031764167183625175
2019-03-22,0.006460342643968226
2019-03-25,0.002901928553908472
2019-03-26,0.0007658790992442565
2019-03-27,-0.0008653684076701265
2019-03-28,-0.0029137590442019122
2019-04-01,0.0
2019-04-02,-0.001172112694770921
2019-04-03,0.004168743637903529
2019-04-04,0.002284687806908302
2019-04-05,-0.0004010297454826867
2019-04-08,0.0021756231801606934
2019-04-09,0.0003917107391144119
2019-04-10,-0.0011539070536974094
2019-04-11,0.0010511067369973553
2019-04-12,-0.0009722109450952824
2019-04-15,-0.0013492641034114133
2019-04-16,0.002206243558913905
2019-04-18,0.007138850754297391
2019-04-22,0.006490532678465095
2019-04-23,0.0020344002370338028
2019-04-24,0.0023904319026490026
2019-04-25,-0.000756223883602306
2019-04-26,0.0005365944115782195
2019-04-30,0.012247173734853352
2019-05-02,0.0
2019-05-03,-0.0007213579470714072
2019-05-06,0.00044764057466633797
2019-05-07,0.005648181448376465
2019-05-08,0.0045883091974185854
2019-05-09,0.0019379693599368968
2019-05-10,0.00015708189258056306
2019-05-13,0.006529206337250144
2019-05-14,-0.004069128792746217
2019-05-15,0.008048668384239068
2019-05-16,2.9005028095948444e-05
2019-05-17,0.007716418761982268
2019-05-20,-0.01957344115123864
2019-05-21,0.006877472594160627
2019-05-22,-0.005778930894013537
2019-05-23,-0.0012696625709935649
2019-05-24,-0.011545228866533419
