date,long_return,short_return,spread,hit_rate,n_long,n_short
2019-03-01,0.03580986507084386,0.07022952001657032,-0.034419654945726456,0.7428571428571429,35,35
2019-03-05,0.03155458739950275,0.028017789357475145,0.003536798042027608,0.7142857142857143,35,35
2019-03-06,0.02405879056974406,0.015030098412029288,0.009028692157714773,0.6857142857142857,35,35
2019-03-07,0.02526031254918439,0.012655710898061914,0.012604601651122475,0.7714285714285715,35,35
2019-03-08,0.028343708071670085,0.012135419550357792,0.016208288521312293,0.6857142857142857,35,35
2019-03-11,0.017121085138116148,-0.011423801523658522,0.02854488666177467,0.6285714285714286,35,35
2019-03-12,0.011589536609893814,-0.01594055371377261,0.027530090323666424,0.5714285714285714,35,35
2019-03-13,0.01734744052843912,-0.0042094501425006155,0.021556890670939736,0.6285714285714286,35,35
2019-03-14,0.022421158162545238,0.002430237061588095,0.019990921100957144,0.6857142857142857,35,35
2019-03-15,0.016109008229130802,-0.011735965223371144,0.027844973452501948,0.6857142857142857,35,35
2019-03-18,0.010834024300875851,-0.027330140850691177,0.03816416515156703,0.6571428571428571,35,35
2019-03-19,0.004081887790897207,-0.048365924903456876,0.052447812694354085,0.6,35,35
2019-03-20,0.011139776405898211,-0.030998414209306636,0.04213819061520485,0.6,35,35
2019-03-22,0.007869077764381298,-0.022152934699298545,0.030022012463679845,0.5142857142857142,35,35
2019-03-25,0.02225298351579512,-0.0032012889064312665,0.025454272422226386,0.6571428571428571,35,35
2019-03-26,0.016284285055950715,-0.02887148399753465,0.04515576905348537,0.6571428571428571,35,35
2019-03-27,0.00641761749744318,-0.040015751387285116,0.04643336888472829,0.5428571428571428,35,35
2019-03-28,-0.0067905899311028264,-0.049600069408741405,0.04280947947763858,0.5142857142857142,35,35
2019-04-01,-0.012821284956035833,-0.09452029274727787,0.08169900779124203,0.43243243243243246,37,41
2019-04-02,-0.013563202134044635,-0.11427185202642169,0.10070864989237706,0.3783783783783784,37,41
2019-04-03,-0.021177248661710328,-0.12030717377749121,0.09912992511578089,0.35135135135135137,37,41
2019-04-04,-0.02336160296206159,-0.11408635495993526,0.09072475199787366,0.35135135135135137,37,41
2019-04-05,-0.027148320543187776,-0.1109889800345195,0.08384065949133172,0.2972972972972973,37,41
2019-04-08,-0.028120836317563513,-0.1415951444566771,0.11347430813911358,0.32432432432432434,37,41
2019-04-09,-0.028935808408860154,-0.13048662777768877,0.10155081936882862,0.3783783783783784,37,41
2019-04-10,-0.024274502424049403,-0.14790256853269068,0.12362806610864127,0.32432432432432434,37,41
2019-04-11,-0.0169515920582732,-0.14798322319232124,0.13103163113404803,0.35135135135135137,37,41
2019-04-12,-0.010515317150964782,-0.15014965015774617,0.13963433300678138,0.3783783783783784,37,41
2019-04-15,0.00217098589176135,-0.09991363588625457,0.10208462177801592,0.40540540540540543,37,41
2019-04-16,-0.0023634303770493975,-0.11707842071913452,0.11471499034208513,0.35135135135135137,37,41
